,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
6740,12113971,JD306933,2020-07-23T08:16:00.000,081XX S STONY ISLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,LIBRARY,True,False,0411,004,8,45,05,1188223,1851262,2020,2020-08-02T15:46:59.000,41.746940271,-87.585872607,"{'latitude': '41.746940271', 'longitude': '-87.585872607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6741,12117608,JD311152,2020-07-23T00:00:00.000,074XX N OAKLEY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2411,024,50,2,05,1159747,1949222,2020,2020-07-30T15:47:03.000,42.016382847,-87.687515051,"{'latitude': '42.016382847', 'longitude': '-87.687515051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6742,12113836,JD306810,2020-07-23T03:40:00.000,032XX W NORTH AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1422,014,26,23,05,1154223,1910445,2020,2020-08-11T15:47:40.000,41.910088907,-87.708881731,"{'latitude': '41.910088907', 'longitude': '-87.708881731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6743,12116142,JD309333,2020-07-23T10:00:00.000,022XX W TAYLOR ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1225,012,28,28,05,1161730,1895541,2020,2020-07-30T15:47:03.000,41.869037805,-87.681719765,"{'latitude': '41.869037805', 'longitude': '-87.681719765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6744,12117222,JD307713,2020-07-23T20:05:00.000,067XX S MORGAN ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,0724,007,6,68,05,1170806,1860116,2020,2020-07-30T15:47:03.000,41.771634234,-87.649434837,"{'latitude': '41.771634234', 'longitude': '-87.649434837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6745,12114704,JD307768,2020-07-23T21:40:00.000,042XX W CULLERTON ST,0650,BURGLARY,HOME INVASION,APARTMENT,False,False,1012,010,24,29,05,1148387,1890082,2020,2020-07-30T15:47:03.000,41.85432513,-87.730846192,"{'latitude': '41.85432513', 'longitude': '-87.730846192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6746,12114978,JD308021,2020-07-23T15:30:00.000,033XX W CHICAGO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1121,011,27,23,05,1153810,1905131,2020,2020-07-30T15:47:03.000,41.895515041,-87.71054066,"{'latitude': '41.895515041', 'longitude': '-87.71054066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6747,12114320,JD307408,2020-07-23T09:30:00.000,046XX N WINCHESTER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,1912,019,47,4,05,1162579,1930802,2020,2020-07-30T15:47:03.000,41.965778665,-87.677613101,"{'latitude': '41.965778665', 'longitude': '-87.677613101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6748,12115073,JD308266,2020-07-23T23:30:00.000,003XX S KILPATRICK AVE,0650,BURGLARY,HOME INVASION,APARTMENT,False,False,1131,011,28,25,05,1145110,1898051,2020,2020-07-30T15:47:03.000,41.876255543,-87.742672996,"{'latitude': '41.876255543', 'longitude': '-87.742672996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6749,12118404,JD312132,2020-07-23T17:00:00.000,117XX S MORGAN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0524,005,34,53,05,1171768,1827029,2020,2020-07-30T15:47:03.000,41.680817764,-87.646875671,"{'latitude': '41.680817764', 'longitude': '-87.646875671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6750,12114415,JD307333,2020-07-23T10:30:00.000,036XX W WABANSIA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2535,025,26,23,05,1151644,1911049,2020,2020-07-30T15:47:03.000,41.911797471,-87.718340093,"{'latitude': '41.911797471', 'longitude': '-87.718340093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6751,12115275,JD307632,2020-07-23T10:50:00.000,035XX W CORTLAND ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1422,014,1,22,05,1152331,1912395,2020,2020-07-30T15:47:03.000,41.915477471,-87.715780643,"{'latitude': '41.915477471', 'longitude': '-87.715780643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6752,12114695,JD307808,2020-07-23T09:00:00.000,037XX W 57TH PL,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,0822,008,23,62,05,1152440,1866220,2020,2020-07-30T15:47:03.000,41.788765593,-87.716598594,"{'latitude': '41.788765593', 'longitude': '-87.716598594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6753,12115410,JD308490,2020-07-23T17:00:00.000,055XX W GLADYS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1522,015,29,25,05,1139693,1897797,2020,2020-07-30T15:47:03.000,41.875659108,-87.762568861,"{'latitude': '41.875659108', 'longitude': '-87.762568861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6754,12114630,JD307591,2020-07-23T09:00:00.000,025XX W MARQUETTE RD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0832,008,17,66,05,1160663,1860144,2020,2020-07-30T15:47:03.000,41.771926385,-87.686615095,"{'latitude': '41.771926385', 'longitude': '-87.686615095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6755,12114730,JD306725,2020-07-23T00:08:00.000,015XX S KOLIN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1012,010,24,29,05,1147640,1892031,2020,2020-07-30T15:47:03.000,41.859687782,-87.733538039,"{'latitude': '41.859687782', 'longitude': '-87.733538039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6756,12120378,JD314352,2020-07-23T16:24:00.000,071XX N KEDZIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,PARK PROPERTY,False,False,2411,024,50,2,05,1153884,1947184,2020,2020-08-01T15:46:24.000,42.010909853,-87.709143958,"{'latitude': '42.010909853', 'longitude': '-87.709143958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6757,12000614,JD175534,2020-03-05T18:25:00.000,014XX E 71ST PL,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0324,003,8,43,05,1186975,1857873,2020,2020-03-12T15:47:33.000,41.765111135,-87.590236302,"{'latitude': '41.765111135', 'longitude': '-87.590236302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6758,12002143,JD177308,2020-03-05T18:30:00.000,032XX W WARREN BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1123,011,28,27,05,1154728,1900162,2020,2020-03-12T15:47:33.000,41.881861285,-87.707302191,"{'latitude': '41.881861285', 'longitude': '-87.707302191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6759,12000685,JD175554,2020-03-05T08:45:00.000,104XX S GREEN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,2233,022,34,73,05,1172493,1835631,2020,2020-03-12T15:47:33.000,41.704407118,-87.64396981,"{'latitude': '41.704407118', 'longitude': '-87.64396981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6760,12000148,JD174859,2020-03-05T05:45:00.000,040XX S ELLIS AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,0214,002,4,36,05,1183187,1878360,2020,2020-03-12T15:47:33.000,41.821418157,-87.603482777,"{'latitude': '41.821418157', 'longitude': '-87.603482777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6761,12003720,JD179361,2020-02-01T00:01:00.000,104XX S NORMAL AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2233,022,34,49,05,1174804,1835634,2020,2020-03-12T15:45:15.000,41.704364274,-87.635507223,"{'latitude': '41.704364274', 'longitude': '-87.635507223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6762,12004356,JD180078,2020-02-26T08:20:00.000,080XX S KIRKLAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,0834,008,18,70,05,1149008,1850659,2020,2020-03-18T15:52:17.000,41.746130478,-87.729583195,"{'latitude': '41.746130478', 'longitude': '-87.729583195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
6763,12000328,JD175158,2020-03-05T09:00:00.000,063XX N ARTESIAN AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2413,024,50,2,05,1158836,1941974,2020,2020-03-12T15:47:33.000,41.996512912,-87.691067353,"{'latitude': '41.996512912', 'longitude': '-87.691067353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
